language,structure,case,n,implementation,run,time_sec
cpp,binary_heap,2. Push reverse sequential,50000,priority_queue,4,0.018577396
cpp,binary_heap,2. Push reverse sequential,50000,priority_queue,5,0.018920907
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,1,0.027197414
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,2,0.027605752
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,3,0.027629132
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,4,0.027582628
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,5,0.027036020
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,1,0.038817309
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,2,0.039563129
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,3,0.039279431
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,4,0.038926866
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,5,0.038841674
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,1,0.057937305
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,2,0.058454250
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,3,0.056792664
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,4,0.056439655
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,5,0.056501380
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,1,0.082460953
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,2,0.081991631
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,3,0.082882737
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,4,0.084096527
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,5,0.082460781
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,1,0.153858459
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,2,0.150632913
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,3,0.152359152
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,4,0.154668785
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,5,0.151284268
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,1,0.219347287
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,2,0.220876408
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,3,0.217147846
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,4,0.221511527
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,5,0.215934376
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,1,0.313094906
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,2,0.309718563
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,3,0.315382530
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,4,0.313560420
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,5,0.315902884
cpp,binary_heap,2. Push reverse sequential,1000000,priority_queue,1,0.451388170
cpp,binary_heap,2. Push reverse sequential,1000000,priority_queue,2,0.444528165
cpp,binary_heap,2. Push reverse sequential,1000000,priority_queue,3,0.465146730
cpp,binary_heap,2. Push reverse sequential,1000000,priority_queue,4,0.462986732
cpp,binary_heap,2. Push reverse sequential,1000000,priority_queue,5,0.455986527
cpp,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,1,0.658473423
cpp,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,2,0.672089848
cpp,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,3,0.673725084
cpp,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,4,0.672488119
cpp,binary_heap,2. Push reverse sequential,2000000,BinaryHeap,5,0.656179339
cpp,binary_heap,2. Push reverse sequential,2000000,priority_queue,1,0.940233473
cpp,binary_heap,2. Push reverse sequential,2000000,priority_queue,2,0.950879454
cpp,binary_heap,2. Push reverse sequential,2000000,priority_queue,3,0.937663251
cpp,binary_heap,2. Push reverse sequential,2000000,priority_queue,4,0.937228986
cpp,binary_heap,2. Push reverse sequential,2000000,priority_queue,5,0.947683871
cpp,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,1,1.754355089
cpp,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,2,1.743413662
cpp,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,3,1.761285659
cpp,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,4,1.748680758
cpp,binary_heap,2. Push reverse sequential,5000000,BinaryHeap,5,1.744666491
cpp,binary_heap,2. Push reverse sequential,5000000,priority_queue,1,2.490703366
cpp,binary_heap,2. Push reverse sequential,5000000,priority_queue,2,2.453897484
cpp,binary_heap,2. Push reverse sequential,5000000,priority_queue,3,2.451693197
cpp,binary_heap,2. Push reverse sequential,5000000,priority_queue,4,2.494763521
cpp,binary_heap,2. Push reverse sequential,5000000,priority_queue,5,2.466207310
cpp,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,1,3.637570739
cpp,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,2,3.563644998
cpp,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,3,3.609604035
cpp,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,4,3.544711573
cpp,binary_heap,2. Push reverse sequential,10000000,BinaryHeap,5,3.575323089
cpp,binary_heap,2. Push reverse sequential,10000000,priority_queue,1,5.032271626
cpp,binary_heap,2. Push reverse sequential,10000000,priority_queue,2,5.053778178
cpp,binary_heap,2. Push reverse sequential,10000000,priority_queue,3,5.001170964
cpp,binary_heap,2. Push reverse sequential,10000000,priority_queue,4,5.051427046
cpp,binary_heap,2. Push reverse sequential,10000000,priority_queue,5,4.988774764
cpp,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,1,5.423288329
cpp,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,2,5.372288399
cpp,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,3,5.406875209
cpp,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,4,5.368201168
cpp,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,5,5.418639748
cpp,binary_heap,2. Push reverse sequential,15000000,priority_queue,1,7.616420613
cpp,binary_heap,2. Push reverse sequential,15000000,priority_queue,2,7.620984846
cpp,binary_heap,2. Push reverse sequential,15000000,priority_queue,3,7.695037587
cpp,binary_heap,2. Push reverse sequential,15000000,priority_queue,4,7.633696207
cpp,binary_heap,2. Push reverse sequential,15000000,priority_queue,5,7.608416067
cpp,binary_heap,3. Push random,10000,BinaryHeap,1,0.000820714
cpp,binary_heap,3. Push random,10000,BinaryHeap,2,0.000795604
cpp,binary_heap,3. Push random,10000,BinaryHeap,3,0.000740685
cpp,binary_heap,3. Push random,10000,BinaryHeap,4,0.000805991
cpp,binary_heap,3. Push random,10000,BinaryHeap,5,0.000756818
cpp,binary_heap,3. Push random,10000,priority_queue,1,0.001329096
cpp,binary_heap,3. Push random,10000,priority_queue,2,0.001356901
cpp,binary_heap,3. Push random,10000,priority_queue,3,0.001301986
cpp,binary_heap,3. Push random,10000,priority_queue,4,0.001434853
cpp,binary_heap,3. Push random,10000,priority_queue,5,0.001306278
cpp,binary_heap,3. Push random,50000,BinaryHeap,1,0.003911207
cpp,binary_heap,3. Push random,50000,BinaryHeap,2,0.003850827
cpp,binary_heap,3. Push random,50000,BinaryHeap,3,0.003728228
cpp,binary_heap,3. Push random,50000,BinaryHeap,4,0.004074287
cpp,binary_heap,3. Push random,50000,BinaryHeap,5,0.003739367
cpp,binary_heap,3. Push random,50000,priority_queue,1,0.006738866
cpp,binary_heap,3. Push random,50000,priority_queue,2,0.006851516
cpp,binary_heap,3. Push random,50000,priority_queue,3,0.006682428
cpp,binary_heap,3. Push random,50000,priority_queue,4,0.006749421
cpp,binary_heap,3. Push random,50000,priority_queue,5,0.006838395
cpp,binary_heap,3. Push random,100000,BinaryHeap,1,0.007759979
cpp,binary_heap,3. Push random,100000,BinaryHeap,2,0.007855696
cpp,binary_heap,3. Push random,100000,BinaryHeap,3,0.007520668
cpp,binary_heap,3. Push random,100000,BinaryHeap,4,0.007972751
cpp,binary_heap,3. Push random,100000,BinaryHeap,5,0.007566600
cpp,binary_heap,3. Push random,100000,priority_queue,1,0.013547204
cpp,binary_heap,3. Push random,100000,priority_queue,2,0.013576050
cpp,binary_heap,3. Push random,100000,priority_queue,3,0.013175420
cpp,binary_heap,3. Push random,100000,priority_queue,4,0.013050869
cpp,binary_heap,3. Push random,100000,priority_queue,5,0.013043328
cpp,binary_heap,3. Push random,200000,BinaryHeap,1,0.015684239
cpp,binary_heap,3. Push random,200000,BinaryHeap,2,0.015104722
cpp,binary_heap,3. Push random,200000,BinaryHeap,3,0.015039064
cpp,binary_heap,3. Push random,200000,BinaryHeap,4,0.014964304
cpp,binary_heap,3. Push random,200000,BinaryHeap,5,0.015013431
cpp,binary_heap,3. Push random,200000,priority_queue,1,0.026192484
cpp,binary_heap,3. Push random,200000,priority_queue,2,0.026180839
cpp,binary_heap,3. Push random,200000,priority_queue,3,0.026264068
cpp,binary_heap,3. Push random,200000,priority_queue,4,0.026140873
cpp,binary_heap,3. Push random,200000,priority_queue,5,0.026085224
cpp,binary_heap,3. Push random,500000,BinaryHeap,1,0.038410371
cpp,binary_heap,3. Push random,500000,BinaryHeap,2,0.037504283
cpp,binary_heap,3. Push random,500000,BinaryHeap,3,0.038005259
cpp,binary_heap,3. Push random,500000,BinaryHeap,4,0.037573453
cpp,binary_heap,3. Push random,500000,BinaryHeap,5,0.037416898
cpp,binary_heap,3. Push random,500000,priority_queue,1,0.066945272
cpp,binary_heap,3. Push random,500000,priority_queue,2,0.066793844
cpp,binary_heap,3. Push random,500000,priority_queue,3,0.065729806
cpp,binary_heap,3. Push random,500000,priority_queue,4,0.065585154
cpp,binary_heap,3. Push random,500000,priority_queue,5,0.065643292
cpp,binary_heap,3. Push random,1000000,BinaryHeap,1,0.077085951
cpp,binary_heap,3. Push random,1000000,BinaryHeap,2,0.075056826
cpp,binary_heap,3. Push random,1000000,BinaryHeap,3,0.075354065
cpp,binary_heap,3. Push random,1000000,BinaryHeap,4,0.075145423
cpp,binary_heap,3. Push random,1000000,BinaryHeap,5,0.075514478
cpp,binary_heap,3. Push random,1000000,priority_queue,1,0.134426399
cpp,binary_heap,3. Push random,1000000,priority_queue,2,0.131427462
cpp,binary_heap,3. Push random,1000000,priority_queue,3,0.131099059
cpp,binary_heap,3. Push random,1000000,priority_queue,4,0.131885299
cpp,binary_heap,3. Push random,1000000,priority_queue,5,0.133472670
cpp,binary_heap,3. Push random,2000000,BinaryHeap,1,0.150773597
cpp,binary_heap,3. Push random,2000000,BinaryHeap,2,0.152792777
cpp,binary_heap,3. Push random,2000000,BinaryHeap,3,0.151000014
cpp,binary_heap,3. Push random,2000000,BinaryHeap,4,0.150553770
cpp,binary_heap,3. Push random,2000000,BinaryHeap,5,0.152782084
cpp,binary_heap,3. Push random,2000000,priority_queue,1,0.264392323
cpp,binary_heap,3. Push random,2000000,priority_queue,2,0.265567031
cpp,binary_heap,3. Push random,2000000,priority_queue,3,0.263738653
cpp,binary_heap,3. Push random,2000000,priority_queue,4,0.265384621
cpp,binary_heap,3. Push random,2000000,priority_queue,5,0.264243236
cpp,binary_heap,3. Push random,5000000,BinaryHeap,1,0.402677191
cpp,binary_heap,3. Push random,5000000,BinaryHeap,2,0.379129845
cpp,binary_heap,3. Push random,5000000,BinaryHeap,3,0.385909151
cpp,binary_heap,3. Push random,5000000,BinaryHeap,4,0.382739438
cpp,binary_heap,3. Push random,5000000,BinaryHeap,5,0.384971641
cpp,binary_heap,3. Push random,5000000,priority_queue,1,0.670764355
cpp,binary_heap,3. Push random,5000000,priority_queue,2,0.668385853
cpp,binary_heap,3. Push random,5000000,priority_queue,3,0.670735458
cpp,binary_heap,3. Push random,5000000,priority_queue,4,0.668898808
cpp,binary_heap,3. Push random,5000000,priority_queue,5,0.671036548
cpp,binary_heap,3. Push random,10000000,BinaryHeap,1,0.773587870
cpp,binary_heap,3. Push random,10000000,BinaryHeap,2,0.773964976
cpp,binary_heap,3. Push random,10000000,BinaryHeap,3,0.773065890
cpp,binary_heap,3. Push random,10000000,BinaryHeap,4,0.768270746
cpp,binary_heap,3. Push random,10000000,BinaryHeap,5,0.780233582
cpp,binary_heap,3. Push random,10000000,priority_queue,1,1.361443894
cpp,binary_heap,3. Push random,10000000,priority_queue,2,1.370686578
cpp,binary_heap,3. Push random,10000000,priority_queue,3,1.340644384
cpp,binary_heap,3. Push random,10000000,priority_queue,4,1.341410165
cpp,binary_heap,3. Push random,10000000,priority_queue,5,1.330377544
cpp,binary_heap,3. Push random,15000000,BinaryHeap,1,1.172435132
cpp,binary_heap,3. Push random,15000000,BinaryHeap,2,1.147546597
cpp,binary_heap,3. Push random,15000000,BinaryHeap,3,1.164212120
cpp,binary_heap,3. Push random,15000000,BinaryHeap,4,1.180597351
cpp,binary_heap,3. Push random,15000000,BinaryHeap,5,1.172778528
cpp,binary_heap,3. Push random,15000000,priority_queue,1,1.996081395
cpp,binary_heap,3. Push random,15000000,priority_queue,2,1.999140735
cpp,binary_heap,3. Push random,15000000,priority_queue,3,1.999379148
cpp,binary_heap,3. Push random,15000000,priority_queue,4,1.997975464
cpp,binary_heap,3. Push random,15000000,priority_queue,5,1.992425034
cpp,binary_heap,4. Heapify random,10000,BinaryHeap,1,0.000346637
cpp,binary_heap,4. Heapify random,10000,BinaryHeap,2,0.000307104
cpp,binary_heap,4. Heapify random,10000,BinaryHeap,3,0.000306693
cpp,binary_heap,4. Heapify random,10000,BinaryHeap,4,0.000306439
cpp,binary_heap,4. Heapify random,10000,BinaryHeap,5,0.000306236
cpp,binary_heap,4. Heapify random,10000,priority_queue,1,0.000497000
cpp,binary_heap,4. Heapify random,10000,priority_queue,2,0.000482018
cpp,binary_heap,4. Heapify random,10000,priority_queue,3,0.000580384
cpp,binary_heap,4. Heapify random,10000,priority_queue,4,0.000488519
